"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
4617.65785601416,-11.663121011403,0.669197424444229,-17.4285204715026,5.01261936978784e-68,1.02853936848677e-63
2073.5903930129,-6.43951683400761,0.436097502563014,-14.7662318544856,2.41862409654329e-49,2.48138739184859e-45
113.223306122032,-4.21945746192412,0.300344502131135,-14.0487254868472,7.84328827945157e-45,5.36454774020222e-41
6991.13253965523,4.20700799166738,0.30208477811374,13.9265805378759,4.36771316526702e-44,2.24052766095285e-40
203.561905407968,-2.3930091851705,0.179740335985702,-13.3137015241857,1.92693445229314e-40,7.9077536053206e-37
181.861694431883,-1.46277465457251,0.111915626489228,-13.0703343264875,4.86512351382551e-39,1.66379115633643e-35
205.386907006943,-2.81943863682538,0.221205176949065,-12.7458076511229,3.28966187086653e-37,9.64293884690147e-34
30418.2605143743,-4.93663910754221,0.389006111952872,-12.6903895744966,6.68524251917699e-37,1.71468114063741e-33
591.909111350283,-1.05046173450058,0.0830916556545205,-12.6422048787691,1.23540300102929e-36,2.81658157534666e-33
33.2939687856672,-3.04790680022077,0.241484079207489,-12.6215641636645,1.60599341175398e-36,3.295337881578e-33
813.549517238702,-0.612504795096471,0.0485581980606967,-12.6138287572132,1.77172050959353e-36,3.30490301239543e-33
1106.62548000687,-2.80711207316588,0.229661786815436,-12.2228086443557,2.34828991855419e-34,4.01538006990111e-31
5991.28347474186,-16.0511403008108,1.31579307624946,-12.1988332288258,3.15309603135235e-34,4.97679826671683e-31
209.809057308972,-3.33218754353942,0.27357653647711,-12.1800925856016,3.96831125706996e-34,5.81612704884418e-31
1687.89997365718,-2.66365899854303,0.220472133475639,-12.0816130208916,1.32102510084807e-33,1.80707426962011e-30
1648.25269060182,3.56777114439631,0.296458195622242,12.0346517555632,2.336177253076e-33,2.99600131599165e-30
3672.60111258981,3.75953736305165,0.315927740665305,11.8999912927384,1.18359503086477e-32,1.42859920225378e-29
29.6989840550584,-3.95826751649321,0.333988607039406,-11.8515046114318,2.11361328313166e-32,2.40940171980992e-29
240.116464657968,-1.18038873778123,0.100690462660033,-11.7229448211659,9.72322399067859e-32,1.05005701613018e-28
1633.89853498671,3.30052340752973,0.285523302005612,11.5595588323115,6.60472312376718e-31,6.77611568882894e-28
